lr,batch,n_filters,dropout,mae_d,mae_f,total
0.0005,32,16,0.2,0.11173507571220398,0.06389226019382477,0.17562733590602875
0.0002,32,16,0.2,0.11101219058036804,0.06481306999921799,0.17582526057958603
0.001,16,16,0.2,0.11210022866725922,0.06486694514751434,0.17696717381477356
0.0005,32,32,0.2,0.11105204373598099,0.0659654438495636,0.1770174875855446
0.001,16,16,0.5,0.11181730777025223,0.06541389226913452,0.17723120003938675
0.0002,32,32,0.3,0.11104422062635422,0.06624496728181839,0.1772891879081726
0.001,32,16,0.2,0.11183103173971176,0.06587564200162888,0.17770667374134064
0.001,16,32,0.5,0.11172949522733688,0.06711753457784653,0.1788470298051834
0.0002,16,32,0.3,0.1122857928276062,0.06740684807300568,0.17969264090061188
0.0005,32,32,0.3,0.11202472448348999,0.06779848784208298,0.17982321232557297
0.0002,32,32,0.2,0.11259743571281433,0.06726638227701187,0.1798638179898262
0.001,32,16,0.5,0.11171872168779373,0.06831398606300354,0.18003270775079727
0.001,32,32,0.3,0.1115766316652298,0.06861244887113571,0.1801890805363655
0.0002,32,32,0.5,0.11103113740682602,0.06924939900636673,0.18028053641319275
0.0005,16,32,0.2,0.11134706437587738,0.07050944864749908,0.18185651302337646
0.001,16,32,0.2,0.11212064325809479,0.069767065346241,0.18188770860433578
0.001,32,16,0.3,0.11205150187015533,0.07027316838502884,0.18232467025518417
0.0005,16,16,0.5,0.11225883662700653,0.07010245323181152,0.18236128985881805
0.0005,16,16,0.2,0.11323276907205582,0.06939396262168884,0.18262673169374466
0.001,16,16,0.3,0.111991748213768,0.0718783512711525,0.1838700994849205
0.0002,16,16,0.3,0.11352722346782684,0.07118532806634903,0.18471255153417587
0.001,32,32,0.5,0.1123742014169693,0.07283319532871246,0.18520739674568176
0.0005,16,32,0.5,0.11221349984407425,0.0734238550066948,0.18563735485076904
0.0005,16,32,0.3,0.11096661537885666,0.07490121573209763,0.18586783111095428
0.0002,16,16,0.2,0.11224457621574402,0.07646431773900986,0.18870889395475388
0.001,32,32,0.2,0.1158907413482666,0.07362578064203262,0.18951652199029922
0.0005,32,32,0.5,0.11181998997926712,0.07961534708738327,0.1914353370666504
0.001,16,32,0.3,0.11308156698942184,0.07838758081197739,0.19146914780139923
0.0002,16,16,0.5,0.1131548210978508,0.07933009415864944,0.19248491525650024
0.0002,16,32,0.2,0.11268314719200134,0.08196447789669037,0.1946476250886917
0.0002,16,32,0.5,0.12032110244035721,0.07885073125362396,0.19917183369398117
0.0005,16,16,0.3,0.11470875889062881,0.09164731204509735,0.20635607093572617
0.0005,32,16,0.3,0.11931700259447098,0.08996661007404327,0.20928361266851425
0.0002,32,16,0.3,0.11610953509807587,0.10546257346868515,0.22157210856676102
0.0005,32,16,0.5,0.11961489915847778,0.12516731023788452,0.2447822093963623
0.0002,32,16,0.5,0.13171833753585815,0.22157825529575348,0.35329659283161163
