pos_num,epi_mm_count,epi_mm_mean,epi_mm_std,epi_mm_min,epi_mm_max,t0_us_count,t0_us_mean,t0_us_std,t0_us_min,t0_us_max,position
1,20,0.9933,0.1167,0.6391,1.2628,20,12.8015,0.4266,12.01,13.09,이마 중앙
2,19,0.9905,0.1296,0.5159,1.1704,19,12.7821,0.4264,12.04,13.09,이마중앙 바로 옆
3,20,1.0126,0.0461,0.9394,1.1011,20,12.789,0.4198,12.04,13.07,이마중앙 바로 옆
4,20,0.9925,0.1062,0.6237,1.2012,20,12.8,0.4265,12.0,13.15,이마 끝 관자놀이
5,20,1.0468,0.0841,0.9548,1.3244,20,12.7955,0.4251,12.03,13.09,이마 끝 관자놀이
6,19,1.001,0.0758,0.7777,1.1396,19,12.7684,0.4248,12.03,13.07,관자놀이(위쪽)
7,20,1.0176,0.1253,0.5852,1.2397,20,12.779,0.4319,12.0,13.07,관자놀이(위쪽)
8,20,1.0256,0.0726,0.9625,1.2397,20,12.785,0.4307,12.0,13.06,눈썹 옆 & 광대활 위 관자놀이
9,20,1.0549,0.1697,0.8778,1.6709,20,12.778,0.4224,12.0,13.07,눈썹 옆 & 광대활 위 관자놀이
10,20,1.0068,0.0613,0.9009,1.1088,20,12.7615,0.424,12.0,13.03,광대활 중앙
11,19,1.0229,0.0499,0.9702,1.1165,19,12.8089,0.3923,12.0,13.06,광대활 중앙
12,20,1.0876,0.1336,0.9163,1.3552,20,12.7885,0.4164,12.04,13.08,눈 아래 돌출광대뼈
13,20,1.0484,0.1159,0.8316,1.4168,20,12.788,0.4179,12.04,13.09,눈 아래 돌출광대뼈
14,20,1.0383,0.1111,0.8547,1.4245,20,12.7895,0.4265,12.0,13.07,아래귀 옆 볼 (귀쪽 이하선)
15,20,1.0083,0.0871,0.8316,1.2166,20,12.786,0.4194,12.03,13.07,돌출광대뼈 바로아래 볼
16,20,1.0287,0.0531,0.9394,1.1396,20,12.803,0.4253,12.05,13.08,콧구멍 바로 옆 볼
17,20,1.0272,0.0799,0.9317,1.2859,20,12.792,0.4274,12.0,13.06,콧구멍 바로 옆 볼
18,20,1.0229,0.0658,0.9548,1.2243,20,12.7965,0.4228,12.05,13.07,돌출광대뼈 바로아래 볼
19,20,1.0745,0.1253,0.9163,1.5015,20,12.796,0.4224,12.05,13.07,아래귀 옆 볼 (귀쪽 이하선)
20,20,1.0445,0.1951,0.7623,1.8018,20,12.7955,0.4189,12.03,13.07,귀 아래쪽 턱선 시작부위
21,20,1.0653,0.1256,0.9471,1.5015,20,12.7925,0.4239,12.04,13.08,잎술과 인중 사이 바로 옆 볼
22,20,1.0522,0.1193,0.9086,1.386,20,12.801,0.4205,12.05,13.08,잎술과 인중 사이 바로 옆 볼
23,20,1.0256,0.0926,0.8162,1.2243,20,12.796,0.4124,12.03,13.08,귀 아래쪽 턱선 시작부위
24,20,1.0487,0.0892,0.9625,1.2628,20,12.7815,0.4336,12.0,13.07,아래잎술 옆 & 턱선 위
25,20,1.0283,0.0745,0.9548,1.2012,20,12.7715,0.4205,12.02,13.06,턱 중앙
26,20,1.0591,0.1543,0.9317,1.6324,20,12.788,0.4194,12.03,13.07,아래잎술 옆 & 턱선 위
27,20,1.0434,0.0955,0.7623,1.2551,20,12.771,0.4207,12.02,13.06,잎술옆 턱선 바로아래 목
28,20,1.1057,0.2454,0.9163,1.9173,20,12.7585,0.4206,12.0,13.05,잎술옆 턱선 바로아래 목
