position,t0_us_count,t0_us_mean,t0_us_std,t0_us_min,t0_us_max,epi_mm_count,epi_mm_mean,epi_mm_std,epi_mm_min,epi_mm_max
이마 중앙,20,12.8015,0.4266,12.01,13.09,20,0.9933,0.1167,0.6391,1.2628
이마중앙 바로 옆,39,12.7856,0.4175,12.04,13.09,39,1.0018,0.0956,0.5159,1.1704
관자놀이(위쪽),39,12.7738,0.4229,12.0,13.07,39,1.0095,0.1032,0.5852,1.2397
광대활 중앙,39,12.7846,0.4042,12.0,13.06,39,1.0146,0.0559,0.9009,1.1165
돌출광대뼈 바로아래 볼,40,12.7912,0.4157,12.03,13.07,40,1.0156,0.0765,0.8316,1.2243
이마 끝 관자놀이,40,12.7977,0.4203,12.0,13.15,40,1.0197,0.0985,0.6237,1.3244
콧구멍 바로 옆 볼,40,12.7975,0.4209,12.0,13.08,40,1.028,0.067,0.9317,1.2859
턱 중앙,20,12.7715,0.4205,12.02,13.06,20,1.0283,0.0745,0.9548,1.2012
귀 아래쪽 턱선 시작부위,40,12.7958,0.4103,12.03,13.08,40,1.0351,0.151,0.7623,1.8018
눈썹 옆 & 광대활 위 관자놀이,40,12.7815,0.4211,12.0,13.07,40,1.0403,0.1297,0.8778,1.6709
아래잎술 옆 & 턱선 위,40,12.7847,0.421,12.0,13.07,40,1.0539,0.1245,0.9317,1.6324
아래귀 옆 볼 (귀쪽 이하선),40,12.7928,0.419,12.0,13.07,40,1.0564,0.1183,0.8547,1.5015
잎술과 인중 사이 바로 옆 볼,40,12.7968,0.4168,12.04,13.08,40,1.0588,0.1211,0.9086,1.5015
눈 아래 돌출광대뼈,40,12.7882,0.4118,12.04,13.09,40,1.068,0.1251,0.8316,1.4168
잎술옆 턱선 바로아래 목,40,12.7648,0.4153,12.0,13.06,40,1.0745,0.1865,0.7623,1.9173
